Type,Part,Number,Price_CAD,N_left,Provider,Link,Note
Assembly,Pi zero,1,~20,15,canakit.com,https://www.canakit.com/raspberry-pi-zero.html?defpid=4307,
Assembly,Arducam 5Mpx OV5647 (LS-2717CS lense),1,43.45,12,amazon.ca,https://www.amazon.ca/gp/product/B012ETE75I/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&th=1,
Assembly,DS1307 RTC Board,1,3.14,20,aliexpress.com,https://www.aliexpress.com/item/32610072259.html?spm=a2g0o.cart.0.0.38f83c00eKJ3nF&mp=1,
Assembly,TPL5110 LOW POWER TIMER BOARD,1,7.04,15,digikey.ca,https://www.digikey.ca/product-detail/en/3435/1528-1917-ND/6817229,
Assembly,16GB SD card (5 units / pack),1 unit,5.60/1,?,amazon.ca,https://www.amazon.ca/KOOTION-Micro-10pcs-UHS-I-Memory/dp/B07XKX2NXP/ref=sr_1_10?keywords=micro+sd+16&qid=1573071363&sr=8-10,
Assembly,5v white led,1m,5.00/1,5m,amazon.ca,https://www.amazon.ca/gp/product/B07CR7PZZ8/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,"trying https://www.aliexpress.com/item/4000074675463.html?spm=a2g0o.cart.0.0.33c23c00PmBrtG&mp=1, white, 5m 60led/m 5v"
Assembly,"3.7V, 5Ah tablet battery",1,12.6,14,aliexpress.com,https://www.aliexpress.com/item/32791077730.html?spm=a2g0s.9042311.0.0.570e4c4dLTE9Zd,
Assembly,TIP120 transistor,1,0.2,>60,aliexpress.com,https://www.aliexpress.com/item/2010887567.html?spm=a2g0o.productlist.0.0.33f448a8po7rhx&algo_pvid=b27fccf5-9750-4b18-8c95-c0c52eb41bf1&algo_expid=b27fccf5-9750-4b18-8c95-c0c52eb41bf1-4&btsid=0ab6d59515838654957076479e5f2a&ws_ab_test=searchweb0_0,
Assembly,dht22 temperature humidity sensor,1,4,25,aliexpress.com,https://www.aliexpress.com/item/32901733917.html?spm=a2g0s.9042311.0.0.13564c4dqiiNwk,
Assembly,3.7 to 5V mini step up,1,0.6,30,aliexpress.com,https://www.aliexpress.com/item/32859414146.html?spm=a2g0s.9042311.0.0.2ddc4c4dwXELOg,
Assembly,15cm camera ribbon cable,1,1.02,10,aliexpress.com,https://www.aliexpress.com/item/32947418836.html?spm=a2g0o.cart.0.0.5eaa3c001hHS8H&mp=1,
Assembly,Right Angle IDC JTAG (6PL),2,"
0.3/2unit",45,aliexpress.com,https://www.aliexpress.com/item/32841491672.html?spm=a2g0s.9042311.0.0.4cf04c4dv3gVAu,
Assembly,IDC Connector 6P,2,0.25/1,0,aliexpress.com,https://www.aliexpress.com/item/32848157974.html?spm=a2g0s.9042311.0.0.4cf04c4dv3gVAu,
